line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,163.04,0.0,163.04,175.0,93.2,93.2,False
A1,2020-07-15 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 03:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 04:00:00,172.09,0.0,172.09,175.0,98.3,98.3,False
A1,2020-07-15 05:00:00,28.29,0.0,28.29,175.0,16.2,16.2,False
A1,2020-07-15 06:00:00,-122.84,0.0,122.84,175.0,70.2,70.2,False
A1,2020-07-15 07:00:00,159.16,0.0,159.16,175.0,90.9,90.9,False
A1,2020-07-15 08:00:00,163.85,0.0,163.85,175.0,93.6,93.6,False
A1,2020-07-15 09:00:00,169.75,0.0,169.75,175.0,97.0,97.0,False
A1,2020-07-15 10:00:00,173.62,0.0,173.62,175.0,99.2,99.2,False
A1,2020-07-15 11:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 13:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 15:00:00,170.81,0.0,170.81,175.0,97.6,97.6,False
A1,2020-07-15 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 17:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 19:00:00,174.72,0.0,174.72,175.0,99.8,99.8,True
A1,2020-07-15 20:00:00,170.73,0.0,170.73,175.0,97.6,97.6,False
A1,2020-07-15 21:00:00,164.69,0.0,164.69,175.0,94.1,94.1,False
A1,2020-07-15 22:00:00,159.66,0.0,159.66,175.0,91.2,91.2,False
A1,2020-07-15 23:00:00,155.01,0.0,155.01,175.0,88.6,88.6,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,168.06,0.0,168.06,175.0,96.0,96.0,False
A1,2020-07-16 10:00:00,174.48,0.0,174.48,175.0,99.7,99.7,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,169.87,0.0,169.87,175.0,97.1,97.1,False
A1,2020-07-16 22:00:00,140.62,0.0,140.62,175.0,80.4,80.4,False
A2,2020-07-15 00:00:00,53.11,0.0,53.11,175.0,30.4,30.4,False
A2,2020-07-15 01:00:00,49.34,0.0,49.34,175.0,28.2,28.2,False
A2,2020-07-15 02:00:00,92.61,0.0,92.61,175.0,52.9,52.9,False
A2,2020-07-15 03:00:00,90.58,0.0,90.58,175.0,51.8,51.8,False
A2,2020-07-15 04:00:00,59.67,0.0,59.67,175.0,34.1,34.1,False
A2,2020-07-15 05:00:00,-0.79,0.0,0.79,175.0,0.5,0.5,False
A2,2020-07-15 06:00:00,-68.63,0.0,68.63,175.0,39.2,39.2,False
A2,2020-07-15 07:00:00,94.74,0.0,94.74,175.0,54.1,54.1,False
A2,2020-07-15 08:00:00,99.07,0.0,99.07,175.0,56.6,56.6,False
A2,2020-07-15 09:00:00,106.1,0.0,106.1,175.0,60.6,60.6,False
A2,2020-07-15 10:00:00,105.0,0.0,105.0,175.0,60.0,60.0,False
A2,2020-07-15 11:00:00,104.86,0.0,104.86,175.0,59.9,59.9,False
A2,2020-07-15 12:00:00,100.84,0.0,100.84,175.0,57.6,57.6,False
A2,2020-07-15 13:00:00,96.35,0.0,96.35,175.0,55.1,55.1,False
A2,2020-07-15 14:00:00,92.85,0.0,92.85,175.0,53.1,53.1,False
A2,2020-07-15 15:00:00,95.18,0.0,95.18,175.0,54.4,54.4,False
A2,2020-07-15 16:00:00,88.61,0.0,88.61,175.0,50.6,50.6,False
A2,2020-07-15 17:00:00,88.91,0.0,88.91,175.0,50.8,50.8,False
A2,2020-07-15 18:00:00,89.08,0.0,89.08,175.0,50.9,50.9,False
A2,2020-07-15 19:00:00,88.24,0.0,88.24,175.0,50.4,50.4,False
A2,2020-07-15 20:00:00,87.29,0.0,87.29,175.0,49.9,49.9,False
A2,2020-07-15 21:00:00,89.22,0.0,89.22,175.0,51.0,51.0,False
A2,2020-07-15 22:00:00,93.31,0.0,93.31,175.0,53.3,53.3,False
A2,2020-07-15 23:00:00,92.67,0.0,92.67,175.0,53.0,53.0,False
A2,2020-07-16 00:00:00,88.88,0.0,88.88,175.0,50.8,50.8,False
A2,2020-07-16 02:00:00,63.32,0.0,63.32,175.0,36.2,36.2,False
A2,2020-07-16 04:00:00,97.4,0.0,97.4,175.0,55.7,55.7,False
A2,2020-07-16 06:00:00,99.02,0.0,99.02,175.0,56.6,56.6,False
A2,2020-07-16 08:00:00,94.06,0.0,94.06,175.0,53.8,53.8,False
A2,2020-07-16 10:00:00,93.33,0.0,93.33,175.0,53.3,53.3,False
A2,2020-07-16 12:00:00,88.1,0.0,88.1,175.0,50.3,50.3,False
A2,2020-07-16 14:00:00,85.15,0.0,85.15,175.0,48.7,48.7,False
A2,2020-07-16 16:00:00,84.29,0.0,84.29,175.0,48.2,48.2,False
A2,2020-07-16 18:00:00,91.34,0.0,91.34,175.0,52.2,52.2,False
A2,2020-07-16 20:00:00,84.85,0.0,84.85,175.0,48.5,48.5,False
A2,2020-07-16 22:00:00,64.47,0.0,64.47,175.0,36.8,36.8,False
A3,2020-07-15 00:00:00,134.92,0.0,134.92,175.0,77.1,77.1,False
A3,2020-07-15 01:00:00,128.09,0.0,128.09,175.0,73.2,73.2,False
A3,2020-07-15 02:00:00,170.39,0.0,170.39,175.0,97.4,97.4,False
A3,2020-07-15 03:00:00,167.55,0.0,167.55,175.0,95.7,95.7,False
A3,2020-07-15 04:00:00,134.06,0.0,134.06,175.0,76.6,76.6,False
A3,2020-07-15 05:00:00,63.31,0.0,63.31,175.0,36.2,36.2,False
A3,2020-07-15 06:00:00,-21.02,0.0,21.02,175.0,12.0,12.0,False
A3,2020-07-15 07:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 08:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 09:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 11:00:00,172.95,0.0,172.95,175.0,98.8,98.8,False
A3,2020-07-15 12:00:00,170.51,0.0,170.51,175.0,97.4,97.4,False
A3,2020-07-15 13:00:00,168.78,0.0,168.78,175.0,96.4,96.4,False
A3,2020-07-15 14:00:00,167.91,0.0,167.91,175.0,95.9,95.9,False
A3,2020-07-15 15:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 16:00:00,168.55,0.0,168.55,175.0,96.3,96.3,False
A3,2020-07-15 17:00:00,170.52,0.0,170.52,175.0,97.4,97.4,False
A3,2020-07-15 18:00:00,173.23,0.0,173.23,175.0,99.0,99.0,False
A3,2020-07-15 19:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 20:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 21:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 22:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 23:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-16 00:00:00,167.54,0.0,167.54,175.0,95.7,95.7,False
A3,2020-07-16 02:00:00,134.15,0.0,134.15,175.0,76.7,76.7,False
A3,2020-07-16 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-16 06:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-16 08:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-16 10:00:00,172.79,0.0,172.79,175.0,98.7,98.7,False
A3,2020-07-16 12:00:00,168.34,0.0,168.34,175.0,96.2,96.2,False
A3,2020-07-16 14:00:00,166.0,0.0,166.0,175.0,94.9,94.9,False
A3,2020-07-16 16:00:00,168.01,0.0,168.01,175.0,96.0,96.0,False
A3,2020-07-16 18:00:00,171.83,0.0,171.83,175.0,98.2,98.2,False
A3,2020-07-16 20:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-16 22:00:00,163.79,0.0,163.79,175.0,93.6,93.6,False
A4,2020-07-15 00:00:00,91.08,0.0,91.08,175.0,52.0,52.0,False
A4,2020-07-15 01:00:00,86.46,0.0,86.46,175.0,49.4,49.4,False
A4,2020-07-15 02:00:00,123.07,0.0,123.07,175.0,70.3,70.3,False
A4,2020-07-15 03:00:00,120.72,0.0,120.72,175.0,69.0,69.0,False
A4,2020-07-15 04:00:00,91.96,0.0,91.96,175.0,52.5,52.5,False
A4,2020-07-15 05:00:00,40.22,0.0,40.22,175.0,23.0,23.0,False
A4,2020-07-15 06:00:00,-21.88,0.0,21.88,175.0,12.5,12.5,False
A4,2020-07-15 07:00:00,127.06,0.0,127.06,175.0,72.6,72.6,False
A4,2020-07-15 08:00:00,127.4,0.0,127.4,175.0,72.8,72.8,False
A4,2020-07-15 09:00:00,128.12,0.0,128.12,175.0,73.2,73.2,False
A4,2020-07-15 10:00:00,127.53,0.0,127.53,175.0,72.9,72.9,False
A4,2020-07-15 11:00:00,125.83,0.0,125.83,175.0,71.9,71.9,False
A4,2020-07-15 12:00:00,123.25,0.0,123.25,175.0,70.4,70.4,False
A4,2020-07-15 13:00:00,121.11,0.0,121.11,175.0,69.2,69.2,False
A4,2020-07-15 14:00:00,119.8,0.0,119.8,175.0,68.5,68.5,False
A4,2020-07-15 15:00:00,125.37,0.0,125.37,175.0,71.6,71.6,False
A4,2020-07-15 16:00:00,119.49,0.0,119.49,175.0,68.3,68.3,False
A4,2020-07-15 17:00:00,121.02,0.0,121.02,175.0,69.2,69.2,False
A4,2020-07-15 18:00:00,123.07,0.0,123.07,175.0,70.3,70.3,False
A4,2020-07-15 19:00:00,124.27,0.0,124.27,175.0,71.0,71.0,False
A4,2020-07-15 20:00:00,124.49,0.0,124.49,175.0,71.1,71.1,False
A4,2020-07-15 21:00:00,125.47,0.0,125.47,175.0,71.7,71.7,False
A4,2020-07-15 22:00:00,126.74,0.0,126.74,175.0,72.4,72.4,False
A4,2020-07-15 23:00:00,127.09,0.0,127.09,175.0,72.6,72.6,False
A4,2020-07-16 00:00:00,120.18,0.0,120.18,175.0,68.7,68.7,False
A4,2020-07-16 02:00:00,92.42,0.0,92.42,175.0,52.8,52.8,False
A4,2020-07-16 04:00:00,127.35,0.0,127.35,175.0,72.8,72.8,False
A4,2020-07-16 06:00:00,127.8,0.0,127.8,175.0,73.0,73.0,False
A4,2020-07-16 08:00:00,126.03,0.0,126.03,175.0,72.0,72.0,False
A4,2020-07-16 10:00:00,123.6,0.0,123.6,175.0,70.6,70.6,False
A4,2020-07-16 12:00:00,119.23,0.0,119.23,175.0,68.1,68.1,False
A4,2020-07-16 14:00:00,116.93,0.0,116.93,175.0,66.8,66.8,False
A4,2020-07-16 16:00:00,118.27,0.0,118.27,175.0,67.6,67.6,False
A4,2020-07-16 18:00:00,122.45,0.0,122.45,175.0,70.0,70.0,False
A4,2020-07-16 20:00:00,124.12,0.0,124.12,175.0,70.9,70.9,False
A4,2020-07-16 22:00:00,114.85,0.0,114.85,175.0,65.6,65.6,False
A5,2020-07-15 00:00:00,86.43,0.0,86.43,175.0,49.4,49.4,False
A5,2020-07-15 01:00:00,82.22,0.0,82.22,175.0,47.0,47.0,False
A5,2020-07-15 02:00:00,110.24,0.0,110.24,175.0,63.0,63.0,False
A5,2020-07-15 03:00:00,108.3,0.0,108.3,175.0,61.9,61.9,False
A5,2020-07-15 04:00:00,85.74,0.0,85.74,175.0,49.0,49.0,False
A5,2020-07-15 05:00:00,46.0,0.0,46.0,175.0,26.3,26.3,False
A5,2020-07-15 06:00:00,-2.55,0.0,2.55,175.0,1.5,1.5,False
A5,2020-07-15 07:00:00,115.47,0.0,115.47,175.0,66.0,66.0,False
A5,2020-07-15 08:00:00,115.54,0.0,115.54,175.0,66.0,66.0,False
A5,2020-07-15 09:00:00,115.61,0.0,115.61,175.0,66.1,66.1,False
A5,2020-07-15 10:00:00,115.75,0.0,115.75,175.0,66.1,66.1,False
A5,2020-07-15 11:00:00,114.62,0.0,114.62,175.0,65.5,65.5,False
A5,2020-07-15 12:00:00,113.3,0.0,113.3,175.0,64.7,64.7,False
A5,2020-07-15 13:00:00,112.38,0.0,112.38,175.0,64.2,64.2,False
A5,2020-07-15 14:00:00,111.94,0.0,111.94,175.0,64.0,64.0,False
A5,2020-07-15 15:00:00,117.1,0.0,117.1,175.0,66.9,66.9,False
A5,2020-07-15 16:00:00,112.38,0.0,112.38,175.0,64.2,64.2,False
A5,2020-07-15 17:00:00,113.5,0.0,113.5,175.0,64.9,64.9,False
A5,2020-07-15 18:00:00,115.05,0.0,115.05,175.0,65.7,65.7,False
A5,2020-07-15 19:00:00,116.06,0.0,116.06,175.0,66.3,66.3,False
A5,2020-07-15 20:00:00,115.96,0.0,115.96,175.0,66.3,66.3,False
A5,2020-07-15 21:00:00,115.73,0.0,115.73,175.0,66.1,66.1,False
A5,2020-07-15 22:00:00,115.51,0.0,115.51,175.0,66.0,66.0,False
A5,2020-07-15 23:00:00,115.37,0.0,115.37,175.0,65.9,65.9,False
A5,2020-07-16 00:00:00,108.8,0.0,108.8,175.0,62.2,62.2,False
A5,2020-07-16 02:00:00,85.82,0.0,85.82,175.0,49.0,49.0,False
A5,2020-07-16 04:00:00,114.17,0.0,114.17,175.0,65.2,65.2,False
A5,2020-07-16 06:00:00,115.41,0.0,115.41,175.0,66.0,66.0,False
A5,2020-07-16 08:00:00,115.76,0.0,115.76,175.0,66.1,66.1,False
A5,2020-07-16 10:00:00,114.71,0.0,114.71,175.0,65.5,65.5,False
A5,2020-07-16 12:00:00,112.27,0.0,112.27,175.0,64.2,64.2,False
A5,2020-07-16 14:00:00,110.99,0.0,110.99,175.0,63.4,63.4,False
A5,2020-07-16 16:00:00,112.15,0.0,112.15,175.0,64.1,64.1,False
A5,2020-07-16 18:00:00,114.21,0.0,114.21,175.0,65.3,65.3,False
A5,2020-07-16 20:00:00,115.97,0.0,115.97,175.0,66.3,66.3,False
A5,2020-07-16 22:00:00,109.0,0.0,109.0,175.0,62.3,62.3,False
A6,2020-07-15 00:00:00,63.85,0.0,63.85,175.0,36.5,36.5,False
A6,2020-07-15 01:00:00,62.33,0.0,62.33,175.0,35.6,35.6,False
A6,2020-07-15 02:00:00,57.7,0.0,57.7,175.0,33.0,33.0,False
A6,2020-07-15 03:00:00,56.76,0.0,56.76,175.0,32.4,32.4,False
A6,2020-07-15 04:00:00,55.64,0.0,55.64,175.0,31.8,31.8,False
A6,2020-07-15 05:00:00,46.53,0.0,46.53,175.0,26.6,26.6,False
A6,2020-07-15 06:00:00,29.63,0.0,29.63,175.0,16.9,16.9,False
A6,2020-07-15 07:00:00,50.4,0.0,50.4,175.0,28.8,28.8,False
A6,2020-07-15 08:00:00,41.06,0.0,41.06,175.0,23.5,23.5,False
A6,2020-07-15 09:00:00,27.25,0.0,27.25,175.0,15.6,15.6,False
A6,2020-07-15 10:00:00,25.6,0.0,25.6,175.0,14.6,14.6,False
A6,2020-07-15 11:00:00,19.93,0.0,19.93,175.0,11.4,11.4,False
A6,2020-07-15 12:00:00,19.46,0.0,19.46,175.0,11.1,11.1,False
A6,2020-07-15 13:00:00,21.26,0.0,21.26,175.0,12.1,12.1,False
A6,2020-07-15 14:00:00,23.77,0.0,23.77,175.0,13.6,13.6,False
A6,2020-07-15 15:00:00,29.23,0.0,29.23,175.0,16.7,16.7,False
A6,2020-07-15 16:00:00,30.77,0.0,30.77,175.0,17.6,17.6,False
A6,2020-07-15 17:00:00,34.98,0.0,34.98,175.0,20.0,20.0,False
A6,2020-07-15 18:00:00,41.05,0.0,41.05,175.0,23.5,23.5,False
A6,2020-07-15 19:00:00,46.49,0.0,46.49,175.0,26.6,26.6,False
A6,2020-07-15 20:00:00,50.89,0.0,50.89,175.0,29.1,29.1,False
A6,2020-07-15 21:00:00,53.17,0.0,53.17,175.0,30.4,30.4,False
A6,2020-07-15 22:00:00,51.86,0.0,51.86,175.0,29.6,29.6,False
A6,2020-07-15 23:00:00,56.39,0.0,56.39,175.0,32.2,32.2,False
A6,2020-07-16 00:00:00,54.79,0.0,54.79,175.0,31.3,31.3,False
A6,2020-07-16 02:00:00,48.81,0.0,48.81,175.0,27.9,27.9,False
A6,2020-07-16 04:00:00,53.39,0.0,53.39,175.0,30.5,30.5,False
A6,2020-07-16 06:00:00,44.35,0.0,44.35,175.0,25.3,25.3,False
A6,2020-07-16 08:00:00,44.22,0.0,44.22,175.0,25.3,25.3,False
A6,2020-07-16 10:00:00,34.92,0.0,34.92,175.0,20.0,20.0,False
A6,2020-07-16 12:00:00,30.94,0.0,30.94,175.0,17.7,17.7,False
A6,2020-07-16 14:00:00,29.33,0.0,29.33,175.0,16.8,16.8,False
A6,2020-07-16 16:00:00,35.13,0.0,35.13,175.0,20.1,20.1,False
A6,2020-07-16 18:00:00,34.86,0.0,34.86,175.0,19.9,19.9,False
A6,2020-07-16 20:00:00,54.73,0.0,54.73,175.0,31.3,31.3,False
A6,2020-07-16 22:00:00,78.29,0.0,78.29,175.0,44.7,44.7,False
A7,2020-07-15 00:00:00,-113.17,0.0,113.17,400.0,28.3,28.3,False
A7,2020-07-15 01:00:00,-109.88,0.0,109.88,400.0,27.5,27.5,False
A7,2020-07-15 02:00:00,-61.09,0.0,61.09,400.0,15.3,15.3,False
A7,2020-07-15 03:00:00,-62.23,0.0,62.23,400.0,15.6,15.6,False
A7,2020-07-15 04:00:00,-92.62,0.0,92.62,400.0,23.2,23.2,False
A7,2020-07-15 05:00:00,-146.49,0.0,146.49,400.0,36.6,36.6,False
A7,2020-07-15 06:00:00,-200.2,0.0,200.2,400.0,50.0,50.0,False
A7,2020-07-15 07:00:00,-77.99,0.0,77.99,400.0,19.5,19.5,False
A7,2020-07-15 08:00:00,-72.17,0.0,72.17,400.0,18.0,18.0,False
A7,2020-07-15 09:00:00,-60.63,0.0,60.63,400.0,15.2,15.2,False
A7,2020-07-15 10:00:00,-68.09,0.0,68.09,400.0,17.0,17.0,False
A7,2020-07-15 11:00:00,-70.37,0.0,70.37,400.0,17.6,17.6,False
A7,2020-07-15 12:00:00,-81.25,0.0,81.25,400.0,20.3,20.3,False
A7,2020-07-15 13:00:00,-93.25,0.0,93.25,400.0,23.3,23.3,False
A7,2020-07-15 14:00:00,-102.57,0.0,102.57,400.0,25.6,25.6,False
A7,2020-07-15 15:00:00,-107.65,0.0,107.65,400.0,26.9,26.9,False
A7,2020-07-15 16:00:00,-113.63,0.0,113.63,400.0,28.4,28.4,False
A7,2020-07-15 17:00:00,-112.58,0.0,112.58,400.0,28.1,28.1,False
A7,2020-07-15 18:00:00,-111.78,0.0,111.78,400.0,27.9,27.9,False
A7,2020-07-15 19:00:00,-113.41,0.0,113.41,400.0,28.4,28.4,False
A7,2020-07-15 20:00:00,-111.22,0.0,111.22,400.0,27.8,27.8,False
A7,2020-07-15 21:00:00,-99.01,0.0,99.01,400.0,24.8,24.8,False
A7,2020-07-15 22:00:00,-82.33,0.0,82.33,400.0,20.6,20.6,False
A7,2020-07-15 23:00:00,-78.55,0.0,78.55,400.0,19.6,19.6,False
A7,2020-07-16 00:00:00,-72.94,0.0,72.94,400.0,18.2,18.2,False
A7,2020-07-16 02:00:00,-86.45,0.0,86.45,400.0,21.6,21.6,False
A7,2020-07-16 04:00:00,-61.25,0.0,61.25,400.0,15.3,15.3,False
A7,2020-07-16 06:00:00,-67.5,0.0,67.5,400.0,16.9,16.9,False
A7,2020-07-16 08:00:00,-90.27,0.0,90.27,400.0,22.6,22.6,False
A7,2020-07-16 10:00:00,-100.06,0.0,100.06,400.0,25.0,25.0,False
A7,2020-07-16 12:00:00,-114.99,0.0,114.99,400.0,28.7,28.7,False
A7,2020-07-16 14:00:00,-123.05,0.0,123.05,400.0,30.8,30.8,False
A7,2020-07-16 16:00:00,-125.05,0.0,125.05,400.0,31.3,31.3,False
A7,2020-07-16 18:00:00,-106.02,0.0,106.02,400.0,26.5,26.5,False
A7,2020-07-16 20:00:00,-116.6,0.0,116.6,400.0,29.2,29.2,False
A7,2020-07-16 22:00:00,-137.12,0.0,137.12,400.0,34.3,34.3,False
A8,2020-07-15 00:00:00,46.04,0.0,46.04,175.0,26.3,26.3,False
A8,2020-07-15 01:00:00,43.88,0.0,43.88,175.0,25.1,25.1,False
A8,2020-07-15 02:00:00,80.07,0.0,80.07,175.0,45.8,45.8,False
A8,2020-07-15 03:00:00,77.74,0.0,77.74,175.0,44.4,44.4,False
A8,2020-07-15 04:00:00,49.27,0.0,49.27,175.0,28.2,28.2,False
A8,2020-07-15 05:00:00,-1.28,0.0,1.28,175.0,0.7,0.7,False
A8,2020-07-15 06:00:00,-62.08,0.0,62.08,175.0,35.5,35.5,False
A8,2020-07-15 07:00:00,73.31,0.0,73.31,175.0,41.9,41.9,False
A8,2020-07-15 08:00:00,70.35,0.0,70.35,175.0,40.2,40.2,False
A8,2020-07-15 09:00:00,67.14,0.0,67.14,175.0,38.4,38.4,False
A8,2020-07-15 10:00:00,63.23,0.0,63.23,175.0,36.1,36.1,False
A8,2020-07-15 11:00:00,58.33,0.0,58.33,175.0,33.3,33.3,False
A8,2020-07-15 12:00:00,52.79,0.0,52.79,175.0,30.2,30.2,False
A8,2020-07-15 13:00:00,48.35,0.0,48.35,175.0,27.6,27.6,False
A8,2020-07-15 14:00:00,45.72,0.0,45.72,175.0,26.1,26.1,False
A8,2020-07-15 15:00:00,50.45,0.0,50.45,175.0,28.8,28.8,False
A8,2020-07-15 16:00:00,45.51,0.0,45.51,175.0,26.0,26.0,False
A8,2020-07-15 17:00:00,49.06,0.0,49.06,175.0,28.0,28.0,False
A8,2020-07-15 18:00:00,53.85,0.0,53.85,175.0,30.8,30.8,False
A8,2020-07-15 19:00:00,56.95,0.0,56.95,175.0,32.5,32.5,False
A8,2020-07-15 20:00:00,60.32,0.0,60.32,175.0,34.5,34.5,False
A8,2020-07-15 21:00:00,66.48,0.0,66.48,175.0,38.0,38.0,False
A8,2020-07-15 22:00:00,72.4,0.0,72.4,175.0,41.4,41.4,False
A8,2020-07-15 23:00:00,76.47,0.0,76.47,175.0,43.7,43.7,False
A8,2020-07-16 00:00:00,72.7,0.0,72.7,175.0,41.5,41.5,False
A8,2020-07-16 02:00:00,47.9,0.0,47.9,175.0,27.4,27.4,False
A8,2020-07-16 04:00:00,80.53,0.0,80.53,175.0,46.0,46.0,False
A8,2020-07-16 06:00:00,74.07,0.0,74.07,175.0,42.3,42.3,False
A8,2020-07-16 08:00:00,64.9,0.0,64.9,175.0,37.1,37.1,False
A8,2020-07-16 10:00:00,54.89,0.0,54.89,175.0,31.4,31.4,False
A8,2020-07-16 12:00:00,44.98,0.0,44.98,175.0,25.7,25.7,False
A8,2020-07-16 14:00:00,39.96,0.0,39.96,175.0,22.8,22.8,False
A8,2020-07-16 16:00:00,43.21,0.0,43.21,175.0,24.7,24.7,False
A8,2020-07-16 18:00:00,52.11,0.0,52.11,175.0,29.8,29.8,False
A8,2020-07-16 20:00:00,60.34,0.0,60.34,175.0,34.5,34.5,False
A8,2020-07-16 22:00:00,61.19,0.0,61.19,175.0,35.0,35.0,False
A9,2020-07-15 00:00:00,91.51,0.0,91.51,175.0,52.3,52.3,False
A9,2020-07-15 01:00:00,87.05,0.0,87.05,175.0,49.7,49.7,False
A9,2020-07-15 02:00:00,128.89,0.0,128.89,175.0,73.7,73.7,False
A9,2020-07-15 03:00:00,126.07,0.0,126.07,175.0,72.0,72.0,False
A9,2020-07-15 04:00:00,92.9,0.0,92.9,175.0,53.1,53.1,False
A9,2020-07-15 05:00:00,23.44,0.0,23.44,175.0,13.4,13.4,False
A9,2020-07-15 06:00:00,-59.47,0.0,59.47,175.0,34.0,34.0,False
A9,2020-07-15 07:00:00,123.19,0.0,123.19,175.0,70.4,70.4,False
A9,2020-07-15 08:00:00,120.02,0.0,120.02,175.0,68.6,68.6,False
A9,2020-07-15 09:00:00,116.24,0.0,116.24,175.0,66.4,66.4,False
A9,2020-07-15 10:00:00,113.06,0.0,113.06,175.0,64.6,64.6,False
A9,2020-07-15 11:00:00,107.94,0.0,107.94,175.0,61.7,61.7,False
A9,2020-07-15 12:00:00,102.66,0.0,102.66,175.0,58.7,58.7,False
A9,2020-07-15 13:00:00,98.73,0.0,98.73,175.0,56.4,56.4,False
A9,2020-07-15 14:00:00,96.59,0.0,96.59,175.0,55.2,55.2,False
A9,2020-07-15 15:00:00,102.87,0.0,102.87,175.0,58.8,58.8,False
A9,2020-07-15 16:00:00,97.33,0.0,97.33,175.0,55.6,55.6,False
A9,2020-07-15 17:00:00,101.24,0.0,101.24,175.0,57.9,57.9,False
A9,2020-07-15 18:00:00,106.57,0.0,106.57,175.0,60.9,60.9,False
A9,2020-07-15 19:00:00,110.16,0.0,110.16,175.0,63.0,63.0,False
A9,2020-07-15 20:00:00,113.18,0.0,113.18,175.0,64.7,64.7,False
A9,2020-07-15 21:00:00,118.17,0.0,118.17,175.0,67.5,67.5,False
A9,2020-07-15 22:00:00,122.62,0.0,122.62,175.0,70.1,70.1,False
A9,2020-07-15 23:00:00,126.2,0.0,126.2,175.0,72.1,72.1,False
A9,2020-07-16 00:00:00,121.75,0.0,121.75,175.0,69.6,69.6,False
A9,2020-07-16 02:00:00,91.24,0.0,91.24,175.0,52.1,52.1,False
A9,2020-07-16 04:00:00,129.83,0.0,129.83,175.0,74.2,74.2,False
A9,2020-07-16 06:00:00,123.21,0.0,123.21,175.0,70.4,70.4,False
A9,2020-07-16 08:00:00,116.1,0.0,116.1,175.0,66.3,66.3,False
A9,2020-07-16 10:00:00,106.63,0.0,106.63,175.0,60.9,60.9,False
A9,2020-07-16 12:00:00,96.86,0.0,96.86,175.0,55.3,55.3,False
A9,2020-07-16 14:00:00,91.91,0.0,91.91,175.0,52.5,52.5,False
A9,2020-07-16 16:00:00,95.75,0.0,95.75,175.0,54.7,54.7,False
A9,2020-07-16 18:00:00,104.1,0.0,104.1,175.0,59.5,59.5,False
A9,2020-07-16 20:00:00,113.56,0.0,113.56,175.0,64.9,64.9,False
A9,2020-07-16 22:00:00,112.1,0.0,112.1,175.0,64.1,64.1,False
A10,2020-07-15 00:00:00,7.82,0.0,7.82,175.0,4.5,4.5,False
A10,2020-07-15 01:00:00,7.87,0.0,7.87,175.0,4.5,4.5,False
A10,2020-07-15 02:00:00,36.24,0.0,36.24,175.0,20.7,20.7,False
A10,2020-07-15 03:00:00,34.29,0.0,34.29,175.0,19.6,19.6,False
A10,2020-07-15 04:00:00,11.48,0.0,11.48,175.0,6.6,6.6,False
A10,2020-07-15 05:00:00,-29.24,0.0,29.24,175.0,16.7,16.7,False
